id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
1,A_SUBMITTED,2023-08-22 08:00:14.656659,2023-08-22 08:00:14.656659,2023-08-22 09:47:08.282262,Role 1,Mike,2,2,20,2,"[1.0, 0.0]",1.0,0,[],{'AMOUNT': 4979},{'bank_branch': 'Eindhoven'}
0,A_SUBMITTED,2023-08-22 08:00:00.481415,2023-08-22 08:00:00.481415,2023-08-22 09:49:36.984549,Role 1,Sara,1,1,20,1,"[0.5, 0.0]",0.5,0,[],{'AMOUNT': 22384},{'bank_branch': 'Eindhoven'}
3,A_SUBMITTED,2023-08-22 08:00:38.173705,2023-08-22 09:49:36.984549,2023-08-22 10:54:33.072977,Role 1,Sara,4,20,20,2,"[1.0, 1.0]",1.0,1,[],{'AMOUNT': 20734},{'bank_branch': 'Eindhoven'}
1,A_PARTLYSUBMITTED,2023-08-22 09:47:08.282262,2023-08-22 09:47:08.282262,2023-08-22 11:05:20.502991,Role 2,Ellen,20,20,20,1,"[1.0, 0.5]",0.5,0,['A_SUBMITTED'],{'AMOUNT': 4979},{'bank_branch': 'Eindhoven'}
0,A_PARTLYSUBMITTED,2023-08-22 09:49:36.984549,2023-08-22 09:49:36.984549,2023-08-22 11:15:20.636484,Role 2,Sue,20,20,20,2,"[1.0, 1.0]",1.0,0,['A_SUBMITTED'],{'AMOUNT': 22384},{'bank_branch': 'Eindhoven'}
2,A_SUBMITTED,2023-08-22 08:00:35.729587,2023-08-22 09:47:08.282262,2023-08-22 11:35:16.305361,Role 1,Mike,3,20,19,2,"[1.0, 0.5]",1.0,0,[],{'AMOUNT': 87884},{'bank_branch': 'Eindhoven'}
4,A_SUBMITTED,2023-08-22 08:00:50.315554,2023-08-22 10:54:33.072977,2023-08-22 12:14:54.485022,Role 1,Sara,5,20,19,2,"[1.0, 1.0]",1.0,2,[],{'AMOUNT': 36961},{'bank_branch': 'Eindhoven'}
1,A_APPROVED,2023-08-22 11:05:20.502991,2023-08-22 11:15:20.636484,2023-08-22 12:44:05.520143,Role 2,Sue,20,19,19,1,"[1.0, 1.0]",1.0,1,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 51233},{'bank_branch': 'Eindhoven'}
3,A_PARTLYSUBMITTED,2023-08-22 10:54:33.072977,2023-08-22 11:05:20.502991,2023-08-22 12:48:23.097270,Role 2,Ellen,20,20,19,2,"[1.0, 1.0]",1.0,0,['A_SUBMITTED'],{'AMOUNT': 20734},{'bank_branch': 'Eindhoven'}
5,A_SUBMITTED,2023-08-22 08:01:12.947385,2023-08-22 11:35:16.305361,2023-08-22 13:22:15.366232,Role 1,Mike,6,19,19,2,"[1.0, 1.0]",1.0,3,[],{'AMOUNT': 3597},{'bank_branch': 'Eindhoven'}
6,A_SUBMITTED,2023-08-22 08:01:55.704141,2023-08-22 12:14:54.485022,2023-08-22 13:42:51.376915,Role 1,Sara,7,19,19,2,"[1.0, 1.0]",1.0,4,[],{'AMOUNT': 6338},{'bank_branch': 'Eindhoven'}
1,A_REGISTERED,2023-08-22 11:05:20.502991,2023-08-22 12:48:23.097270,2023-08-22 14:08:24.157126,Role 2,Ellen,20,19,19,1,"[1.0, 1.0]",1.0,1,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_APPROVED']",{'AMOUNT': 12465},{'bank_branch': 'Eindhoven'}
1,A_ACTIVATED,2023-08-22 11:05:20.502991,2023-08-22 12:44:05.520143,2023-08-22 14:10:42.437235,Role 2,Sue,20,19,19,1,"[1.0, 1.0]",1.0,1,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_APPROVED', 'A_REGISTERED']",{'AMOUNT': 60455},{'bank_branch': 'Eindhoven'}
7,A_SUBMITTED,2023-08-22 08:02:26.764116,2023-08-22 13:22:15.366232,2023-08-22 15:03:55.933459,Role 1,Mike,8,19,18,2,"[1.0, 1.0]",1.0,5,[],{'AMOUNT': 45223},{'bank_branch': 'Eindhoven'}
8,A_SUBMITTED,2023-08-22 08:02:30.394882,2023-08-22 13:42:51.376915,2023-08-22 15:15:28.422061,Role 1,Sara,9,19,18,2,"[1.0, 1.0]",1.0,6,[],{'AMOUNT': 96132},{'bank_branch': 'Eindhoven'}
4,A_PARTLYSUBMITTED,2023-08-22 12:14:54.485022,2023-08-22 14:10:42.437235,2023-08-22 15:51:58.350124,Role 2,Sue,19,18,18,2,"[1.0, 1.0]",1.0,3,['A_SUBMITTED'],{'AMOUNT': 36961},{'bank_branch': 'Eindhoven'}
2,A_PARTLYSUBMITTED,2023-08-22 11:35:16.305361,2023-08-22 14:08:24.157126,2023-08-22 15:59:45.553578,Role 2,Ellen,19,19,18,1,"[1.0, 1.0]",1.0,2,['A_SUBMITTED'],{'AMOUNT': 87884},{'bank_branch': 'Eindhoven'}
10,A_SUBMITTED,2023-08-22 08:04:23.157400,2023-08-22 15:15:28.422061,2023-08-22 16:33:10.727253,Role 1,Sara,11,18,18,2,"[1.0, 1.0]",1.0,8,[],{'AMOUNT': 39811},{'bank_branch': 'Eindhoven'}
9,A_SUBMITTED,2023-08-22 08:03:47.377291,2023-08-22 15:03:55.933459,2023-08-22 16:38:20.628645,Role 1,Mike,10,18,18,2,"[1.0, 1.0]",1.0,7,[],{'AMOUNT': 45428},{'bank_branch': 'Eindhoven'}
5,A_PARTLYSUBMITTED,2023-08-22 13:22:15.366232,2023-08-22 15:59:45.553578,2023-08-22 17:38:54.520301,Role 2,Ellen,19,18,18,1,"[1.0, 1.0]",1.0,3,['A_SUBMITTED'],{'AMOUNT': 3597},{'bank_branch': 'Eindhoven'}
