id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
<<<<<<< HEAD
0,A_SUBMITTED,2023-08-30 16:02:11.351103,2023-08-30 16:02:11.351103,2023-08-30 17:08:12.466623,Role 1,Sara,1,1,10,1,"[0.5, 0.0]",0.5,0,[],{'AMOUNT': 98116},{'bank_branch': 'Eindhoven'}
1,A_SUBMITTED,2023-08-30 16:10:21.244474,2023-08-30 16:10:21.244474,2023-08-30 17:22:27.854843,Role 1,Mike,2,2,10,2,"[1.0, 0.0]",1.0,0,[],{'AMOUNT': 67128},{'bank_branch': 'Eindhoven'}
3,A_SUBMITTED,2023-08-30 16:15:58.081130,2023-08-30 17:22:27.854843,2023-08-30 18:38:43.678427,Role 1,Mike,4,10,10,2,"[1.0, 1.0]",1.0,1,[],{'AMOUNT': 57729},{'bank_branch': 'Eindhoven'}
0,A_PARTLYSUBMITTED,2023-08-30 17:08:12.466623,2023-08-30 17:08:12.466623,2023-08-30 18:42:38.166431,Role 2,Ellen,10,10,10,1,"[1.0, 0.5]",0.5,0,['A_SUBMITTED'],{'AMOUNT': 98116},{'bank_branch': 'Eindhoven'}
1,A_PARTLYSUBMITTED,2023-08-30 17:22:27.854843,2023-08-30 17:22:27.854843,2023-08-30 18:47:10.797533,Role 2,Sue,10,10,10,2,"[1.0, 1.0]",1.0,0,['A_SUBMITTED'],{'AMOUNT': 67128},{'bank_branch': 'Eindhoven'}
2,A_SUBMITTED,2023-08-30 16:14:21.507256,2023-08-30 17:08:12.466623,2023-08-30 19:01:12.461024,Role 1,Sara,3,10,10,2,"[1.0, 0.5]",1.0,0,[],{'AMOUNT': 97991},{'bank_branch': 'Eindhoven'}
4,A_SUBMITTED,2023-08-30 16:31:12.973184,2023-08-30 18:38:43.678427,2023-08-30 19:52:13.053224,Role 1,Mike,5,10,10,2,"[1.0, 1.0]",1.0,2,[],{'AMOUNT': 46533},{'bank_branch': 'Eindhoven'}
0,A_PREACCEPTED,2023-08-30 18:42:38.166431,2023-08-30 18:47:10.797533,2023-08-30 20:17:18.898038,Role 2,Sue,10,10,10,1,"[1.0, 1.0]",1.0,1,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 98116},{'bank_branch': 'Eindhoven'}
3,A_PARTLYSUBMITTED,2023-08-30 18:38:43.678427,2023-08-30 18:42:38.166431,2023-08-30 20:22:36.711425,Role 2,Ellen,10,10,10,2,"[1.0, 1.0]",1.0,0,['A_SUBMITTED'],{'AMOUNT': 57729},{'bank_branch': 'Eindhoven'}
5,A_SUBMITTED,2023-08-30 16:46:55.970273,2023-08-30 19:01:12.461024,2023-08-30 20:35:26.371114,Role 1,Sara,6,10,10,2,"[1.0, 1.0]",1.0,3,[],{'AMOUNT': 58109},{'bank_branch': 'Eindhoven'}
6,A_SUBMITTED,2023-08-30 16:52:53.627508,2023-08-30 19:52:13.053224,2023-08-30 21:09:15.750649,Role 1,Mike,7,10,10,2,"[1.0, 1.0]",1.0,4,[],{'AMOUNT': 1445},{'bank_branch': 'Eindhoven'}
1,A_PREACCEPTED,2023-08-30 18:47:10.797533,2023-08-30 20:17:18.898038,2023-08-30 21:30:20.983513,Role 2,Sue,10,10,10,1,"[1.0, 1.0]",1.0,1,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 67128},{'bank_branch': 'Eindhoven'}
7,A_SUBMITTED,2023-08-30 16:53:57.872495,2023-08-30 20:35:26.371114,2023-08-30 21:44:00.826376,Role 1,Sara,8,10,10,2,"[1.0, 1.0]",1.0,5,[],{'AMOUNT': 14755},{'bank_branch': 'Eindhoven'}
2,A_PARTLYSUBMITTED,2023-08-30 19:01:12.461024,2023-08-30 20:22:36.711425,2023-08-30 21:56:15.456161,Role 2,Ellen,10,10,10,1,"[1.0, 1.0]",1.0,1,['A_SUBMITTED'],{'AMOUNT': 97991},{'bank_branch': 'Eindhoven'}
2,A_PARTLYSUBMITTED,2023-08-30 19:01:12.461024,2023-08-30 20:22:36.711425,2023-08-30 21:56:15.456161,Role 2,Ellen,10,10,10,1,"[1.0, 1.0]",1.0,1,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 97991},{'bank_branch': 'Eindhoven'}
4,A_PARTLYSUBMITTED,2023-08-30 19:52:13.053224,2023-08-30 21:30:20.983513,2023-08-30 22:38:07.263276,Role 2,Sue,10,10,10,2,"[1.0, 1.0]",1.0,2,['A_SUBMITTED'],{'AMOUNT': 46533},{'bank_branch': 'Eindhoven'}
8,A_SUBMITTED,2023-08-30 17:02:43.447251,2023-08-30 21:09:15.750649,2023-08-30 22:42:40.805018,Role 1,Mike,9,10,10,2,"[1.0, 1.0]",1.0,6,[],{'AMOUNT': 29671},{'bank_branch': 'Eindhoven'}
9,A_SUBMITTED,2023-08-30 17:03:55.677906,2023-08-30 21:44:00.826376,2023-08-30 23:30:23.102062,Role 1,Sara,10,10,10,2,"[1.0, 1.0]",1.0,7,[],{'AMOUNT': 14513},{'bank_branch': 'Eindhoven'}
3,A_PREACCEPTED,2023-08-30 20:22:36.711425,2023-08-30 21:56:15.456161,2023-08-30 23:54:31.146543,Role 2,Ellen,10,10,10,1,"[1.0, 1.0]",1.0,2,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 57729},{'bank_branch': 'Eindhoven'}
3,A_PREACCEPTED,2023-08-30 20:22:36.711425,2023-08-30 21:56:15.456161,2023-08-30 23:54:31.146543,Role 2,Ellen,10,10,10,1,"[1.0, 1.0]",1.0,2,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED']",{'AMOUNT': 57729},{'bank_branch': 'Eindhoven'}
5,A_PARTLYSUBMITTED,2023-08-30 20:35:26.371114,2023-08-30 22:38:07.263276,2023-08-31 00:30:15.469004,Role 2,Sue,10,10,10,1,"[1.0, 1.0]",1.0,2,['A_SUBMITTED'],{'AMOUNT': 58109},{'bank_branch': 'Eindhoven'}
