id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
0,A_SUBMITTED,2023-10-26 08:16:07.159752,2023-10-26 08:16:07.159752,2023-10-26 09:21:37.433327,Role 1,Sara,1,1,20,1,"[0.5, 0.0]",0.5,0,[],{'AMOUNT': 21679},{'bank_branch': 'Eindhoven'}
1,A_SUBMITTED,2023-10-26 08:21:29.606606,2023-10-26 08:21:29.606606,2023-10-26 10:16:49.764828,Role 1,Mike,2,2,20,2,"[1.0, 0.0]",1.0,0,[],{'AMOUNT': 98600},{'bank_branch': 'Eindhoven'}
2,A_SUBMITTED,2023-10-26 08:22:42.870342,2023-10-26 09:21:37.433327,2023-10-26 10:31:14.584078,Role 1,Sara,3,20,20,2,"[1.0, 0.5]",1.0,0,[],{'AMOUNT': 69270},{'bank_branch': 'Eindhoven'}
1,A_PARTLYSUBMITTED,2023-10-26 10:16:49.764828,2023-10-26 10:16:49.764828,2023-10-26 10:48:40.067087,Role 2,Sue,20,20,20,2,"[1.0, 1.0]",1.0,0,['A_SUBMITTED'],{'AMOUNT': 98600},{'bank_branch': 'Eindhoven'}
2,A_PARTLYSUBMITTED,2023-10-26 10:31:14.584078,2023-10-26 10:48:40.067087,2023-10-26 11:18:58.997360,Role 2,Sue,20,20,20,2,"[1.0, 1.0]",1.0,0,['A_SUBMITTED'],{'AMOUNT': 69270},{'bank_branch': 'Eindhoven'}
0,A_PARTLYSUBMITTED,2023-10-26 09:21:37.433327,2023-10-26 09:21:37.433327,2023-10-26 11:21:02.403114,Role 2,Ellen,20,20,20,1,"[1.0, 0.5]",0.5,0,['A_SUBMITTED'],{'AMOUNT': 21679},{'bank_branch': 'Eindhoven'}
3,A_SUBMITTED,2023-10-26 08:25:49.630395,2023-10-26 10:16:49.764828,2023-10-26 11:38:50.357918,Role 1,Mike,4,20,20,2,"[1.0, 1.0]",1.0,1,[],{'AMOUNT': 2914},{'bank_branch': 'Eindhoven'}
4,A_SUBMITTED,2023-10-26 08:27:10.665297,2023-10-26 10:31:14.584078,2023-10-26 11:50:01.308454,Role 1,Sara,5,20,20,2,"[1.0, 1.0]",1.0,2,[],{'AMOUNT': 87494},{'bank_branch': 'Eindhoven'}
3,A_PARTLYSUBMITTED,2023-10-26 11:38:50.357918,2023-10-26 11:38:50.357918,2023-10-26 12:14:02.743085,Role 2,Ellen,20,20,20,1,"[1.0, 1.0]",1.0,0,['A_SUBMITTED'],{'AMOUNT': 2914},{'bank_branch': 'Eindhoven'}
1,A_DECLINED,2023-10-26 10:48:40.067087,2023-10-26 11:18:58.997360,2023-10-26 12:54:41.359303,Role 2,Sue,20,20,20,1,"[1.0, 1.0]",1.0,1,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 98600},{'bank_branch': 'Eindhoven'}
