id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
1,A_SUBMITTED,2022-01-01 09:43:59.243212,2022-01-01 09:43:59.243212,2022-01-01 09:43:59.243212,Role 1,D,2,2,2,2,"[1.0, 0.0, 0.0]",1.0,0,[],{'AMOUNT': 34689},{'bank_branch': 'Utrecht'}
1,A_PARTLYSUBMITTED,2022-01-01 09:43:59.243212,2022-01-01 09:43:59.243212,2022-01-01 10:15:56.696539,Role 1,D,2,2,9,1,"[1.0, 0.0, 0.0]",1.0,0,['A_SUBMITTED'],{'AMOUNT': 34689},{'bank_branch': 'Utrecht'}
0,A_SUBMITTED,2022-01-01 09:41:57.329176,2022-01-01 09:41:57.329176,2022-01-01 10:44:16.146396,Role 1,E,1,1,15,1,"[0.5, 0.0, 0.0]",0.5,0,[],{'AMOUNT': 62898},{'bank_branch': 'Utrecht'}
3,A_SUBMITTED,2022-01-01 09:46:03.507172,2022-01-01 10:44:16.146396,2022-01-01 11:45:21.830771,Role 1,E,4,15,15,2,"[1.0, 1.0, 0.0]",1.0,1,[],{'AMOUNT': 43525},{'bank_branch': 'Utrecht'}
2,A_SUBMITTED,2022-01-01 09:45:07.239422,2022-01-01 10:15:56.696539,2022-01-01 11:49:47.708075,Role 1,D,3,9,15,2,"[1.0, 1.0, 0.0]",1.0,0,[],{'AMOUNT': 28230},{'bank_branch': 'Utrecht'}
1,W_Assess_fraud,2022-01-01 10:15:56.696539,2022-01-01 10:15:56.696539,2022-01-01 12:02:55.777071,Role 2,A,9,9,15,1,"[1.0, 1.0, 0.0]",1.0,0,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 34689},{'bank_branch': 'Utrecht'}
4,A_SUBMITTED,2022-01-01 09:50:09.356234,2022-01-01 11:45:21.830771,2022-01-01 12:23:57.801443,Role 1,E,5,15,15,2,"[1.0, 1.0, 0.0]",1.0,2,[],{'AMOUNT': 23971},{'bank_branch': 'Utrecht'}
6,A_SUBMITTED,2022-01-01 09:54:53.897617,2022-01-01 12:23:57.801443,2022-01-01 13:17:11.028323,Role 1,E,7,15,15,2,"[1.0, 0.0, 0.0]",1.0,4,[],{'AMOUNT': 4437},{'bank_branch': 'Utrecht'}
5,A_SUBMITTED,2022-01-01 09:54:18.817608,2022-01-01 11:49:47.708075,2022-01-01 13:20:33.810657,Role 1,D,6,15,15,2,"[1.0, 1.0, 0.0]",1.0,3,[],{'AMOUNT': 19811},{'bank_branch': 'Utrecht'}
7,A_SUBMITTED,2022-01-01 10:02:08.173553,2022-01-01 13:17:11.028323,2022-01-01 13:21:19.315340,Role 1,E,8,15,15,2,"[1.0, 0.0, 0.0]",1.0,5,[],{'AMOUNT': 39503},{'bank_branch': 'Utrecht'}
9,A_SUBMITTED,2022-01-01 10:25:42.840223,2022-01-01 13:21:19.315340,2022-01-01 14:09:17.529986,Role 1,E,10,15,15,2,"[1.0, 0.0, 0.0]",1.0,6,[],{'AMOUNT': 63518},{'bank_branch': 'Utrecht'}
8,A_SUBMITTED,2022-01-01 10:07:05.933854,2022-01-01 13:20:33.810657,2022-01-01 14:53:21.566812,Role 1,D,9,15,15,2,"[1.0, 0.0, 0.0]",1.0,6,[],{'AMOUNT': 25042},{'bank_branch': 'Utrecht'}
10,A_SUBMITTED,2022-01-01 10:27:15.279394,2022-01-01 14:09:17.529986,2022-01-01 15:18:09.571464,Role 1,E,11,15,15,2,"[1.0, 0.0, 0.0]",1.0,7,[],{'AMOUNT': 21749},{'bank_branch': 'Utrecht'}
11,A_SUBMITTED,2022-01-01 10:27:43.308504,2022-01-01 14:53:21.566812,2022-01-01 15:49:28.591999,Role 1,D,12,15,15,2,"[1.0, 0.0, 0.0]",1.0,8,[],{'AMOUNT': 53737},{'bank_branch': 'Utrecht'}
12,A_SUBMITTED,2022-01-01 10:30:05.084392,2022-01-01 15:18:09.571464,2022-01-01 16:21:27.722813,Role 1,E,13,15,15,2,"[1.0, 0.0, 0.0]",1.0,9,[],{'AMOUNT': 91585},{'bank_branch': 'Utrecht'}
13,A_SUBMITTED,2022-01-01 10:35:21.680172,2022-01-01 15:49:28.591999,2022-01-01 16:40:54.507256,Role 1,D,14,15,15,2,"[1.0, 0.0, 0.0]",1.0,10,[],{'AMOUNT': 2174},{'bank_branch': 'Utrecht'}
