id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
0,A_SUBMITTED,2023-10-26 08:10:55.899235,2023-10-26 08:10:55.899235,2023-10-26 09:34:17.442275,Role 1,Sara,1,1,21,1,"[0.5, 0.0]",0.5,0,[],{'AMOUNT': 11837},{'bank_branch': 'Eindhoven'}
1,A_SUBMITTED,2023-10-26 08:11:47.340260,2023-10-26 08:11:47.340260,2023-10-26 09:56:53.094602,Role 1,Mike,2,2,24,2,"[1.0, 0.0]",1.0,0,[],{'AMOUNT': 64718},{'bank_branch': 'Eindhoven'}
2,A_SUBMITTED,2023-10-26 08:12:56.065270,2023-10-26 09:34:17.442275,2023-10-26 10:48:28.582638,Role 1,Sara,3,21,27,2,"[1.0, 0.5]",1.0,0,[],{'AMOUNT': 49788},{'bank_branch': 'Eindhoven'}
3,A_SUBMITTED,2023-10-26 08:29:51.648345,2023-10-26 09:56:53.094602,2023-10-26 11:12:59.946430,Role 1,Mike,4,24,34,2,"[1.0, 1.0]",1.0,1,[],{'AMOUNT': 28082},{'bank_branch': 'Eindhoven'}
0,A_PARTLYSUBMITTED,2023-10-26 09:34:17.442275,2023-10-26 09:34:17.442275,2023-10-26 11:17:29.449485,Role 2,Ellen,21,21,35,1,"[1.0, 0.5]",0.5,0,['A_SUBMITTED'],{'AMOUNT': 11837},{'bank_branch': 'Eindhoven'}
2,A_PARTLYSUBMITTED,2023-10-26 10:48:28.582638,2023-10-26 11:17:29.449485,2023-10-26 11:49:18.901023,Role 2,Ellen,27,35,40,2,"[1.0, 1.0]",1.0,0,['A_SUBMITTED'],{'AMOUNT': 49788},{'bank_branch': 'Eindhoven'}
1,A_PARTLYSUBMITTED,2023-10-26 09:56:53.094602,2023-10-26 09:56:53.094602,2023-10-26 11:50:02.827372,Role 2,Sue,24,24,40,2,"[1.0, 1.0]",1.0,0,['A_SUBMITTED'],{'AMOUNT': 64718},{'bank_branch': 'Eindhoven'}
5,A_SUBMITTED,2023-10-26 08:56:24.555221,2023-10-26 11:12:59.946430,2023-10-26 12:42:19.136139,Role 1,Mike,6,34,50,2,"[1.0, 1.0]",1.0,3,[],{'AMOUNT': 6258},{'bank_branch': 'Eindhoven'}
4,A_SUBMITTED,2023-10-26 08:49:29.787176,2023-10-26 10:48:28.582638,2023-10-26 12:43:05.568500,Role 1,Sara,5,27,50,2,"[1.0, 1.0]",1.0,2,[],{'AMOUNT': 52468},{'bank_branch': 'Eindhoven'}
0,A_DECLINED,2023-10-26 11:17:29.449485,2023-10-26 11:50:02.827372,2023-10-26 13:13:44.036489,Role 2,Sue,35,40,50,1,"[1.0, 1.0]",1.0,2,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 11837},{'bank_branch': 'Eindhoven'}
3,A_PARTLYSUBMITTED,2023-10-26 11:12:59.946430,2023-10-26 11:49:18.901023,2023-10-26 13:36:31.260138,Role 2,Ellen,34,40,49,2,"[1.0, 1.0]",1.0,1,['A_SUBMITTED'],{'AMOUNT': 28082},{'bank_branch': 'Eindhoven'}
7,A_SUBMITTED,2023-10-26 08:59:46.185348,2023-10-26 12:43:05.568500,2023-10-26 14:16:53.624464,Role 1,Sara,8,50,49,2,"[1.0, 1.0]",1.0,5,[],{'AMOUNT': 93488},{'bank_branch': 'Eindhoven'}
6,A_SUBMITTED,2023-10-26 08:57:05.717422,2023-10-26 12:42:19.136139,2023-10-26 14:20:24.165116,Role 1,Mike,7,50,49,2,"[1.0, 1.0]",1.0,4,[],{'AMOUNT': 61949},{'bank_branch': 'Eindhoven'}
2,A_DECLINED,2023-10-26 11:49:18.901023,2023-10-26 13:13:44.036489,2023-10-26 14:48:15.779518,Role 2,Sue,40,49,49,1,"[1.0, 1.0]",1.0,2,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 49788},{'bank_branch': 'Eindhoven'}
1,A_DECLINED,2023-10-26 11:50:02.827372,2023-10-26 13:36:31.260138,2023-10-26 15:31:55.476429,Role 2,Ellen,40,49,48,2,"[1.0, 1.0]",1.0,2,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 64718},{'bank_branch': 'Eindhoven'}
9,A_SUBMITTED,2023-10-26 09:04:05.818994,2023-10-26 14:20:24.165116,2023-10-26 15:58:17.840035,Role 1,Mike,10,49,47,2,"[1.0, 1.0]",1.0,7,[],{'AMOUNT': 43134},{'bank_branch': 'Eindhoven'}
5,A_PARTLYSUBMITTED,2023-10-26 12:42:19.136139,2023-10-26 14:48:15.779518,2023-10-26 16:02:56.130203,Role 2,Sue,50,48,47,1,"[1.0, 1.0]",1.0,2,['A_SUBMITTED'],{'AMOUNT': 6258},{'bank_branch': 'Eindhoven'}
8,A_SUBMITTED,2023-10-26 09:04:02.088049,2023-10-26 14:16:53.624464,2023-10-26 16:08:51.596662,Role 1,Sara,9,49,47,2,"[1.0, 1.0]",1.0,6,[],{'AMOUNT': 50667},{'bank_branch': 'Eindhoven'}
4,A_PARTLYSUBMITTED,2023-10-26 12:43:05.568500,2023-10-26 15:31:55.476429,2023-10-26 16:26:39.463009,Role 2,Ellen,50,47,47,2,"[1.0, 1.0]",1.0,3,['A_SUBMITTED'],{'AMOUNT': 52468},{'bank_branch': 'Eindhoven'}
10,A_SUBMITTED,2023-10-26 09:08:16.457170,2023-10-26 15:58:17.840035,2023-10-26 17:02:25.816613,Role 1,Mike,11,47,47,2,"[1.0, 1.0]",1.0,8,[],{'AMOUNT': 32138},{'bank_branch': 'Eindhoven'}
7,A_PARTLYSUBMITTED,2023-10-26 14:16:53.624464,2023-10-26 16:26:39.463009,2023-10-26 17:22:03.334246,Role 2,Ellen,49,47,47,1,"[1.0, 1.0]",1.0,3,['A_SUBMITTED'],{'AMOUNT': 93488},{'bank_branch': 'Eindhoven'}
3,A_DECLINED,2023-10-26 13:36:31.260138,2023-10-26 16:02:56.130203,2023-10-26 17:51:44.556555,Role 2,Sue,49,47,47,1,"[1.0, 1.0]",1.0,3,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 28082},{'bank_branch': 'Eindhoven'}
6,A_PARTLYSUBMITTED,2023-10-26 14:20:24.165116,2023-10-26 17:22:03.334246,2023-10-26 18:21:44.957676,Role 2,Ellen,49,47,46,1,"[1.0, 1.0]",1.0,4,['A_SUBMITTED'],{'AMOUNT': 61949},{'bank_branch': 'Eindhoven'}
