id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
1,A_SUBMITTED,2023-08-22 11:46:27.801402,2023-08-22 11:46:27.801402,2023-08-22 12:08:12.648978,Role 1,Mike,0,0,0,1,[],1.0,0,[],{'AMOUNT': 62600},{'bank_branch': 'Eindhoven'}
0,A_SUBMITTED,2023-08-22 11:39:18.979211,2023-08-22 11:39:18.979211,2023-08-22 12:10:50.845380,Role 1,Sara,0,0,0,0,[],0.5,0,[],{'AMOUNT': 39163},{'bank_branch': 'Eindhoven'}
0,A_PARTLYSUBMITTED,2023-08-22 12:10:50.845380,2023-08-22 12:10:50.845380,2023-08-22 12:22:29.199708,Role 2,Sue,0,0,0,1,[],1.0,0,['A_SUBMITTED'],{'AMOUNT': 39163},{'bank_branch': 'Eindhoven'}
3,A_SUBMITTED,2023-08-22 11:53:48.500868,2023-08-22 12:10:50.845380,2023-08-22 12:28:03.196484,Role 1,Sara,0,0,0,1,[],1.0,1,[],{'AMOUNT': 8896},{'bank_branch': 'Eindhoven'}
2,A_SUBMITTED,2023-08-22 11:48:04.405523,2023-08-22 12:08:12.648978,2023-08-22 12:35:27.410232,Role 1,Mike,0,0,0,1,[],1.0,0,[],{'AMOUNT': 54577},{'bank_branch': 'Eindhoven'}
5,A_SUBMITTED,2023-08-22 12:00:57.401627,2023-08-22 12:35:27.410232,2023-08-22 12:44:47.258746,Role 1,Mike,0,0,0,1,[],1.0,3,[],{'AMOUNT': 77033},{'bank_branch': 'Eindhoven'}
4,A_SUBMITTED,2023-08-22 11:59:27.093017,2023-08-22 12:28:03.196484,2023-08-22 12:53:06.703213,Role 1,Sara,0,0,0,1,[],1.0,2,[],{'AMOUNT': 25365},{'bank_branch': 'Eindhoven'}
1,A_PARTLYSUBMITTED,2023-08-22 12:08:12.648978,2023-08-22 12:08:12.648978,2023-08-22 12:53:10.210136,Role 2,Ellen,0,0,0,0,[],0.5,0,['A_SUBMITTED'],{'AMOUNT': 62600},{'bank_branch': 'Eindhoven'}
0,A_PREACCEPTED,2023-08-22 12:22:29.199708,2023-08-22 12:22:29.199708,2023-08-22 12:59:47.451497,Role 2,Sue,0,0,0,0,[],1.0,0,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 39163},{'bank_branch': 'Eindhoven'}
6,A_SUBMITTED,2023-08-22 12:13:59.100611,2023-08-22 12:44:47.258746,2023-08-22 13:04:21.017096,Role 1,Mike,0,0,0,1,[],1.0,2,[],{'AMOUNT': 32796},{'bank_branch': 'Eindhoven'}
7,A_SUBMITTED,2023-08-22 12:21:58.494538,2023-08-22 12:53:06.703213,2023-08-22 13:14:53.439755,Role 1,Sara,0,0,0,1,[],1.0,3,[],{'AMOUNT': 19268},{'bank_branch': 'Eindhoven'}
8,A_SUBMITTED,2023-08-22 12:22:39.804043,2023-08-22 13:04:21.017096,2023-08-22 13:18:30.637888,Role 1,Mike,0,0,0,1,[],1.0,4,[],{'AMOUNT': 6544},{'bank_branch': 'Eindhoven'}
9,A_SUBMITTED,2023-08-22 12:26:32.637300,2023-08-22 13:14:53.439755,2023-08-22 13:34:30.514429,Role 1,Sara,0,0,0,1,[],1.0,5,[],{'AMOUNT': 72109},{'bank_branch': 'Eindhoven'}
0,A_ACCEPTED,2023-08-22 12:59:47.451497,2023-08-22 13:18:30.637888,2023-08-22 13:41:31.799788,Role 1,Mike,0,0,0,0,[],1.0,2,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED']",{'AMOUNT': 39163},{'bank_branch': 'Eindhoven'}
2,A_PARTLYSUBMITTED,2023-08-22 12:35:27.410232,2023-08-22 12:59:47.451497,2023-08-22 13:43:46.162530,Role 2,Sue,0,0,0,1,[],1.0,1,['A_SUBMITTED'],{'AMOUNT': 54577},{'bank_branch': 'Eindhoven'}
3,A_PARTLYSUBMITTED,2023-08-22 12:28:03.196484,2023-08-22 12:53:10.210136,2023-08-22 13:52:42.037544,Role 2,Ellen,0,0,0,0,[],1.0,0,['A_SUBMITTED'],{'AMOUNT': 8896},{'bank_branch': 'Eindhoven'}
5,A_PARTLYSUBMITTED,2023-08-22 12:44:47.258746,2023-08-22 13:43:46.162530,2023-08-22 13:56:21.367466,Role 2,Sue,0,0,0,1,[],1.0,2,['A_SUBMITTED'],{'AMOUNT': 77033},{'bank_branch': 'Eindhoven'}
1,A_DECLINED,2023-08-22 12:53:10.210136,2023-08-22 13:56:21.367466,2023-08-22 14:00:13.288207,Role 2,Sue,0,0,0,0,[],1.0,4,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 62600},{'bank_branch': 'Eindhoven'}
4,A_PARTLYSUBMITTED,2023-08-22 12:53:06.703213,2023-08-22 13:52:42.037544,2023-08-22 14:17:26.858601,Role 2,Ellen,0,0,0,1,[],1.0,3,['A_SUBMITTED'],{'AMOUNT': 25365},{'bank_branch': 'Eindhoven'}
6,A_PARTLYSUBMITTED,2023-08-22 13:04:21.017096,2023-08-22 14:00:13.288207,2023-08-22 14:34:43.339856,Role 2,Sue,0,0,0,1,[],1.0,3,['A_SUBMITTED'],{'AMOUNT': 32796},{'bank_branch': 'Eindhoven'}
7,A_PARTLYSUBMITTED,2023-08-22 13:14:53.439755,2023-08-22 14:17:26.858601,2023-08-22 15:00:14.144677,Role 2,Ellen,0,0,0,1,[],1.0,4,['A_SUBMITTED'],{'AMOUNT': 19268},{'bank_branch': 'Eindhoven'}
8,A_PARTLYSUBMITTED,2023-08-22 13:18:30.637888,2023-08-22 14:34:43.339856,2023-08-22 15:18:31.199656,Role 2,Sue,0,0,0,1,[],1.0,5,['A_SUBMITTED'],{'AMOUNT': 6544},{'bank_branch': 'Eindhoven'}
9,A_PARTLYSUBMITTED,2023-08-22 13:34:30.514429,2023-08-22 15:00:14.144677,2023-08-22 15:31:46.285067,Role 2,Ellen,0,0,0,1,[],1.0,6,['A_SUBMITTED'],{'AMOUNT': 72109},{'bank_branch': 'Eindhoven'}
0,A_CANCELLED,2023-08-22 13:41:31.799788,2023-08-22 15:18:31.199656,2023-08-22 15:52:15.205086,Role 2,Sue,0,0,0,0,[],1.0,7,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED', 'A_ACCEPTED']",{'AMOUNT': 39163},{'bank_branch': 'Eindhoven'}
2,A_PREACCEPTED,2023-08-22 13:43:46.162530,2023-08-22 15:31:46.285067,2023-08-22 16:25:33.333411,Role 2,Ellen,0,0,0,0,[],1.0,8,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 54577},{'bank_branch': 'Eindhoven'}
