id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
1,A_SUBMITTED,2023-08-22 08:00:24.023082,2023-08-22 08:00:24.023082,2023-08-22 08:03:13.007307,Role 1,Mike,0,0,0,1,"[1.0, 0.0]",1.0,0,[],{'AMOUNT': 1336},{'bank_branch': 'Eindhoven'}
1,A_PARTLYSUBMITTED,2023-08-22 08:03:13.007307,2023-08-22 08:03:13.007307,2023-08-22 08:18:41.477867,Role 2,Ellen,0,0,0,0,"[1.0, 0.5]",0.5,0,['A_SUBMITTED'],{'AMOUNT': 1336},{'bank_branch': 'Eindhoven'}
1,A_ACTIVATED,2023-08-22 08:18:41.477867,2023-08-22 08:18:41.477867,2023-08-22 08:32:26.518320,Role 2,Ellen,0,0,0,0,"[1.0, 1.0]",1.0,0,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 62947},{'bank_branch': 'Eindhoven'}
0,A_SUBMITTED,2023-08-22 08:00:00.145667,2023-08-22 08:00:00.145667,2023-08-22 08:55:27.071707,Role 1,Sara,0,0,0,0,"[0.5, 0.0]",0.5,0,[],{'AMOUNT': 48394},{'bank_branch': 'Eindhoven'}
2,A_SUBMITTED,2023-08-22 08:00:38.108328,2023-08-22 08:03:13.007307,2023-08-22 08:56:05.347979,Role 1,Mike,0,0,0,1,"[1.0, 0.5]",1.0,0,[],{'AMOUNT': 41660},{'bank_branch': 'Eindhoven'}
1,A_APPROVED,2023-08-22 08:18:41.477867,2023-08-22 08:18:41.477867,2023-08-22 09:08:34.711214,Role 2,Sue,0,0,0,0,"[1.0, 1.0]",1.0,0,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_ACTIVATED']",{'AMOUNT': 53766},{'bank_branch': 'Eindhoven'}
1,A_REGISTERED,2023-08-22 08:18:41.477867,2023-08-22 08:32:26.518320,2023-08-22 09:22:31.271570,Role 2,Ellen,0,0,0,0,"[1.0, 1.0]",1.0,0,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_ACTIVATED', 'A_APPROVED']",{'AMOUNT': 27433},{'bank_branch': 'Eindhoven'}
0,A_PARTLYSUBMITTED,2023-08-22 08:55:27.071707,2023-08-22 09:08:34.711214,2023-08-22 09:31:33.579664,Role 2,Sue,0,0,0,0,"[1.0, 1.0]",1.0,0,['A_SUBMITTED'],{'AMOUNT': 48394},{'bank_branch': 'Eindhoven'}
4,A_SUBMITTED,2023-08-22 08:01:18.682637,2023-08-22 08:56:05.347979,2023-08-22 09:33:20.855187,Role 1,Mike,0,0,0,1,"[1.0, 1.0]",1.0,2,[],{'AMOUNT': 83634},{'bank_branch': 'Eindhoven'}
5,A_SUBMITTED,2023-08-22 08:02:21.755303,2023-08-22 09:33:20.855187,2023-08-22 09:34:58.220911,Role 1,Mike,0,0,0,1,"[1.0, 1.0]",1.0,3,[],{'AMOUNT': 20848},{'bank_branch': 'Eindhoven'}
2,A_PARTLYSUBMITTED,2023-08-22 08:56:05.347979,2023-08-22 09:22:31.271570,2023-08-22 09:36:06.190972,Role 2,Ellen,0,0,0,1,"[1.0, 1.0]",1.0,1,['A_SUBMITTED'],{'AMOUNT': 41660},{'bank_branch': 'Eindhoven'}
3,A_SUBMITTED,2023-08-22 08:00:39.037113,2023-08-22 08:55:27.071707,2023-08-22 09:37:06.455640,Role 1,Sara,0,0,0,1,"[1.0, 1.0]",1.0,1,[],{'AMOUNT': 98648},{'bank_branch': 'Eindhoven'}
6,A_SUBMITTED,2023-08-22 08:02:45.030522,2023-08-22 09:34:58.220911,2023-08-22 09:54:25.392549,Role 1,Mike,0,0,0,1,"[1.0, 1.0]",1.0,4,[],{'AMOUNT': 76334},{'bank_branch': 'Eindhoven'}
7,A_SUBMITTED,2023-08-22 08:03:19.000946,2023-08-22 09:37:06.455640,2023-08-22 10:00:36.768545,Role 1,Sara,0,0,0,1,"[1.0, 1.0]",1.0,4,[],{'AMOUNT': 73514},{'bank_branch': 'Eindhoven'}
8,A_SUBMITTED,2023-08-22 08:04:00.419115,2023-08-22 09:54:25.392549,2023-08-22 10:08:15.894928,Role 1,Mike,0,0,0,1,"[1.0, 1.0]",1.0,5,[],{'AMOUNT': 92249},{'bank_branch': 'Eindhoven'}
4,A_PARTLYSUBMITTED,2023-08-22 09:33:20.855187,2023-08-22 09:36:06.190972,2023-08-22 10:12:23.914493,Role 2,Ellen,0,0,0,0,"[1.0, 1.0]",1.0,0,['A_SUBMITTED'],{'AMOUNT': 83634},{'bank_branch': 'Eindhoven'}
0,A_PREACCEPTED,2023-08-22 09:31:33.579664,2023-08-22 09:31:33.579664,2023-08-22 10:18:14.614036,Role 2,Sue,0,0,0,0,"[1.0, 1.0]",1.0,0,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 48394},{'bank_branch': 'Eindhoven'}
