id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
1,A_SUBMITTED,2023-08-21 17:35:53.164602,2023-08-21 17:35:53.164602,2023-08-21 17:54:27.490027,Role 1,Mike,0,0,0,1,[],1.0,0,[],{'AMOUNT': 68453},{'bank_branch': 'Eindhoven'}
0,A_SUBMITTED,2023-08-21 17:35:33.397272,2023-08-21 17:35:33.397272,2023-08-21 18:00:52.499515,Role 1,Sara,0,0,0,0,[],0.5,0,[],{'AMOUNT': 6499},{'bank_branch': 'Eindhoven'}
0,A_PARTLYSUBMITTED,2023-08-21 18:00:52.499515,2023-08-21 18:00:52.499515,2023-08-21 18:12:20.271042,Role 2,Sue,0,0,0,1,[],1.0,0,['A_SUBMITTED'],{'AMOUNT': 6499},{'bank_branch': 'Eindhoven'}
2,A_SUBMITTED,2023-08-21 17:36:43.556683,2023-08-21 17:54:27.490027,2023-08-21 18:28:54.444690,Role 1,Mike,0,0,0,1,[],1.0,0,[],{'AMOUNT': 85059},{'bank_branch': 'Eindhoven'}
0,A_DECLINED,2023-08-21 18:12:20.271042,2023-08-21 18:12:20.271042,2023-08-21 18:43:45.496016,Role 2,Sue,0,0,0,0,[],1.0,0,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 6499},{'bank_branch': 'Eindhoven'}
3,A_SUBMITTED,2023-08-21 17:39:30.955865,2023-08-21 18:00:52.499515,2023-08-21 18:46:47.576376,Role 1,Sara,0,0,0,1,[],1.0,1,[],{'AMOUNT': 11186},{'bank_branch': 'Eindhoven'}
5,A_SUBMITTED,2023-08-21 17:56:48.560991,2023-08-21 18:46:47.576376,2023-08-21 18:52:41.677609,Role 1,Sara,0,0,0,1,[],1.0,2,[],{'AMOUNT': 16835},{'bank_branch': 'Eindhoven'}
1,A_PARTLYSUBMITTED,2023-08-21 17:54:27.490027,2023-08-21 17:54:27.490027,2023-08-21 18:53:16.346805,Role 2,Ellen,0,0,0,0,[],0.5,0,['A_SUBMITTED'],{'AMOUNT': 68453},{'bank_branch': 'Eindhoven'}
3,A_PARTLYSUBMITTED,2023-08-21 18:46:47.576376,2023-08-21 18:53:16.346805,2023-08-21 19:03:55.153092,Role 2,Ellen,0,0,0,1,[],1.0,0,['A_SUBMITTED'],{'AMOUNT': 11186},{'bank_branch': 'Eindhoven'}
5,A_PARTLYSUBMITTED,2023-08-21 18:52:41.677609,2023-08-21 19:03:55.153092,2023-08-21 19:17:17.604316,Role 2,Ellen,0,0,0,1,[],1.0,1,['A_SUBMITTED'],{'AMOUNT': 16835},{'bank_branch': 'Eindhoven'}
4,A_SUBMITTED,2023-08-21 17:55:38.355813,2023-08-21 18:28:54.444690,2023-08-21 19:18:02.083546,Role 1,Mike,0,0,0,1,[],1.0,1,[],{'AMOUNT': 36217},{'bank_branch': 'Eindhoven'}
2,A_PARTLYSUBMITTED,2023-08-21 18:28:54.444690,2023-08-21 18:43:45.496016,2023-08-21 19:26:16.764849,Role 2,Sue,0,0,0,1,[],1.0,0,['A_SUBMITTED'],{'AMOUNT': 85059},{'bank_branch': 'Eindhoven'}
6,A_SUBMITTED,2023-08-21 17:58:28.922731,2023-08-21 18:52:41.677609,2023-08-21 19:27:46.289376,Role 1,Sara,0,0,0,1,[],1.0,3,[],{'AMOUNT': 1530},{'bank_branch': 'Eindhoven'}
1,A_PREACCEPTED,2023-08-21 18:53:16.346805,2023-08-21 19:17:17.604316,2023-08-21 19:40:16.424371,Role 2,Ellen,0,0,0,0,[],1.0,2,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 68453},{'bank_branch': 'Eindhoven'}
7,A_SUBMITTED,2023-08-21 18:00:13.869710,2023-08-21 19:18:02.083546,2023-08-21 19:47:47.427445,Role 1,Mike,0,0,0,1,[],1.0,4,[],{'AMOUNT': 30298},{'bank_branch': 'Eindhoven'}
8,A_SUBMITTED,2023-08-21 18:00:17.397967,2023-08-21 19:27:46.289376,2023-08-21 20:10:32.063581,Role 1,Sara,0,0,0,1,[],1.0,5,[],{'AMOUNT': 65292},{'bank_branch': 'Eindhoven'}
9,A_SUBMITTED,2023-08-21 18:08:43.723141,2023-08-21 19:47:47.427445,2023-08-21 20:16:08.356611,Role 1,Mike,0,0,0,1,[],1.0,5,[],{'AMOUNT': 54172},{'bank_branch': 'Eindhoven'}
3,A_PREACCEPTED,2023-08-21 19:03:55.153092,2023-08-21 19:26:16.764849,2023-08-21 20:22:58.752086,Role 2,Sue,0,0,0,1,[],1.0,2,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 11186},{'bank_branch': 'Eindhoven'}
4,A_PARTLYSUBMITTED,2023-08-21 19:18:02.083546,2023-08-21 20:22:58.752086,2023-08-21 20:34:50.952961,Role 2,Sue,0,0,0,0,[],1.0,2,['A_SUBMITTED'],{'AMOUNT': 36217},{'bank_branch': 'Eindhoven'}
5,A_PREACCEPTED,2023-08-21 19:17:17.604316,2023-08-21 19:40:16.424371,2023-08-21 20:35:56.960934,Role 2,Ellen,0,0,0,1,[],1.0,2,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 16835},{'bank_branch': 'Eindhoven'}
2,A_DECLINED,2023-08-21 19:26:16.764849,2023-08-21 20:34:50.952961,2023-08-21 20:36:37.829461,Role 2,Sue,0,0,0,0,[],1.0,3,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 85059},{'bank_branch': 'Eindhoven'}
6,A_PARTLYSUBMITTED,2023-08-21 19:27:46.289376,2023-08-21 20:35:56.960934,2023-08-21 21:15:58.684002,Role 2,Ellen,0,0,0,0,[],1.0,3,['A_SUBMITTED'],{'AMOUNT': 1530},{'bank_branch': 'Eindhoven'}
1,A_DECLINED,2023-08-21 19:40:16.424371,2023-08-21 20:36:37.829461,2023-08-21 21:16:47.811114,Role 2,Sue,0,0,0,0,[],1.0,4,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED']",{'AMOUNT': 68453},{'bank_branch': 'Eindhoven'}
8,A_PARTLYSUBMITTED,2023-08-21 20:10:32.063581,2023-08-21 21:16:47.811114,2023-08-21 21:46:18.001302,Role 2,Sue,0,0,0,1,[],1.0,5,['A_SUBMITTED'],{'AMOUNT': 65292},{'bank_branch': 'Eindhoven'}
7,A_PARTLYSUBMITTED,2023-08-21 19:47:47.427445,2023-08-21 21:15:58.684002,2023-08-21 21:58:25.684910,Role 2,Ellen,0,0,0,0,[],1.0,4,['A_SUBMITTED'],{'AMOUNT': 30298},{'bank_branch': 'Eindhoven'}
3,A_DECLINED,2023-08-21 20:22:58.752086,2023-08-21 21:58:25.684910,2023-08-21 22:01:39.464750,Role 2,Ellen,0,0,0,0,[],1.0,7,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED']",{'AMOUNT': 11186},{'bank_branch': 'Eindhoven'}
9,A_PARTLYSUBMITTED,2023-08-21 20:16:08.356611,2023-08-21 21:46:18.001302,2023-08-21 22:09:10.761664,Role 2,Sue,0,0,0,1,[],1.0,6,['A_SUBMITTED'],{'AMOUNT': 54172},{'bank_branch': 'Eindhoven'}
5,A_DECLINED,2023-08-21 20:35:56.960934,2023-08-21 22:09:10.761664,2023-08-21 22:38:31.797908,Role 2,Sue,0,0,0,1,[],1.0,7,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED']",{'AMOUNT': 16835},{'bank_branch': 'Eindhoven'}
6,A_DECLINED,2023-08-21 21:15:58.684002,2023-08-21 22:38:31.797908,2023-08-21 22:52:56.284745,Role 2,Sue,0,0,0,1,[],1.0,6,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 1530},{'bank_branch': 'Eindhoven'}
4,A_DECLINED,2023-08-21 20:34:50.952961,2023-08-21 22:01:39.464750,2023-08-21 23:01:20.989476,Role 2,Ellen,0,0,0,0,[],1.0,7,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 36217},{'bank_branch': 'Eindhoven'}
8,A_DECLINED,2023-08-21 21:46:18.001302,2023-08-21 22:52:56.284745,2023-08-21 23:15:34.987792,Role 2,Sue,0,0,0,1,[],1.0,5,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 65292},{'bank_branch': 'Eindhoven'}
7,A_PREACCEPTED,2023-08-21 21:58:25.684910,2023-08-21 23:01:20.989476,2023-08-21 23:45:16.530009,Role 2,Ellen,0,0,0,0,[],1.0,5,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 30298},{'bank_branch': 'Eindhoven'}
9,A_DECLINED,2023-08-21 22:09:10.761664,2023-08-21 23:15:34.987792,2023-08-22 00:12:38.223050,Role 2,Sue,0,0,0,0,[],1.0,4,"['A_SUBMITTED', 'A_PARTLYSUBMITTED']",{'AMOUNT': 54172},{'bank_branch': 'Eindhoven'}
7,A_ACCEPTED,2023-08-21 23:45:16.530009,2023-08-21 23:45:16.530009,2023-08-22 00:18:12.806068,Role 1,Sara,0,0,0,0,[],0.5,0,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED']",{'AMOUNT': 30298},{'bank_branch': 'Eindhoven'}
7,A_FINALIZED,2023-08-22 00:18:12.806068,2023-08-22 00:18:12.806068,2023-08-22 01:12:48.336401,Role 2,Ellen,0,0,0,0,[],0.5,0,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED', 'A_ACCEPTED']",{'AMOUNT': 30298},{'bank_branch': 'Eindhoven'}
7,A_ACTIVATED,2023-08-22 01:12:48.336401,2023-08-22 01:12:48.336401,2023-08-22 01:23:32.713979,Role 2,Ellen,0,0,0,0,[],1.0,0,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED', 'A_ACCEPTED', 'A_FINALIZED']",{'AMOUNT': 98709},{'bank_branch': 'Eindhoven'}
7,A_APPROVED,2023-08-22 01:12:48.336401,2023-08-22 01:23:32.713979,2023-08-22 01:39:22.813781,Role 2,Ellen,0,0,0,0,[],1.0,0,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED', 'A_ACCEPTED', 'A_FINALIZED', 'A_ACTIVATED']",{'AMOUNT': 33384},{'bank_branch': 'Eindhoven'}
7,A_REGISTERED,2023-08-22 01:12:48.336401,2023-08-22 01:12:48.336401,2023-08-22 01:56:06.052768,Role 2,Sue,0,0,0,0,[],1.0,0,"['A_SUBMITTED', 'A_PARTLYSUBMITTED', 'A_PREACCEPTED', 'A_ACCEPTED', 'A_FINALIZED', 'A_ACTIVATED', 'A_APPROVED']",{'AMOUNT': 72583},{'bank_branch': 'Eindhoven'}
